date,year,quarter,month_number,month_name,week_number,day_of_week,is_weekend,is_bank_holiday,financial_year,financial_quarter,financial_month
2021-01-01,2021,1,1,January,53,Friday,False,True,2021,1,1
2021-01-02,2021,1,1,January,53,Saturday,True,False,2021,1,1
2021-01-03,2021,1,1,January,53,Sunday,True,False,2021,1,1
2021-01-04,2021,1,1,January,1,Monday,False,False,2021,1,1
2021-01-05,2021,1,1,January,1,Tuesday,False,False,2021,1,1
2021-01-06,2021,1,1,January,1,Wednesday,False,False,2021,1,1
2021-01-07,2021,1,1,January,1,Thursday,False,False,2021,1,1
2021-01-08,2021,1,1,January,1,Friday,False,False,2021,1,1
2021-01-09,2021,1,1,January,1,Saturday,True,False,2021,1,1
2021-01-10,2021,1,1,January,1,Sunday,True,False,2021,1,1
2021-01-11,2021,1,1,January,2,Monday,False,False,2021,1,1
2021-01-12,2021,1,1,January,2,Tuesday,False,False,2021,1,1
2021-01-13,2021,1,1,January,2,Wednesday,False,False,2021,1,1
2021-01-14,2021,1,1,January,2,Thursday,False,False,2021,1,1
2021-01-15,2021,1,1,January,2,Friday,False,False,2021,1,1
2021-01-16,2021,1,1,January,2,Saturday,True,False,2021,1,1
2021-01-17,2021,1,1,January,2,Sunday,True,False,2021,1,1
2021-01-18,2021,1,1,January,3,Monday,False,False,2021,1,1
2021-01-19,2021,1,1,January,3,Tuesday,False,False,2021,1,1
2021-01-20,2021,1,1,January,3,Wednesday,False,False,2021,1,1
2021-01-21,2021,1,1,January,3,Thursday,False,False,2021,1,1
2021-01-22,2021,1,1,January,3,Friday,False,False,2021,1,1
2021-01-23,2021,1,1,January,3,Saturday,True,False,2021,1,1
2021-01-24,2021,1,1,January,3,Sunday,True,False,2021,1,1
2021-01-25,2021,1,1,January,4,Monday,False,False,2021,1,1
2021-01-26,2021,1,1,January,4,Tuesday,False,False,2021,1,1
2021-01-27,2021,1,1,January,4,Wednesday,False,False,2021,1,1
2021-01-28,2021,1,1,January,4,Thursday,False,False,2021,1,1
2021-01-29,2021,1,1,January,4,Friday,False,False,2021,1,1
2021-01-30,2021,1,1,January,4,Saturday,True,False,2021,1,1
2021-01-31,2021,1,1,January,4,Sunday,True,False,2021,1,1
2021-02-01,2021,1,2,February,5,Monday,False,False,2021,1,2
2021-02-02,2021,1,2,February,5,Tuesday,False,False,2021,1,2
2021-02-03,2021,1,2,February,5,Wednesday,False,False,2021,1,2
2021-02-04,2021,1,2,February,5,Thursday,False,False,2021,1,2
2021-02-05,2021,1,2,February,5,Friday,False,False,2021,1,2
2021-02-06,2021,1,2,February,5,Saturday,True,False,2021,1,2
2021-02-07,2021,1,2,February,5,Sunday,True,False,2021,1,2
2021-02-08,2021,1,2,February,6,Monday,False,False,2021,1,2
2021-02-09,2021,1,2,February,6,Tuesday,False,False,2021,1,2
2021-02-10,2021,1,2,February,6,Wednesday,False,False,2021,1,2
2021-02-11,2021,1,2,February,6,Thursday,False,False,2021,1,2
2021-02-12,2021,1,2,February,6,Friday,False,False,2021,1,2
2021-02-13,2021,1,2,February,6,Saturday,True,False,2021,1,2
2021-02-14,2021,1,2,February,6,Sunday,True,False,2021,1,2
2021-02-15,2021,1,2,February,7,Monday,False,False,2021,1,2
2021-02-16,2021,1,2,February,7,Tuesday,False,False,2021,1,2
2021-02-17,2021,1,2,February,7,Wednesday,False,False,2021,1,2
2021-02-18,2021,1,2,February,7,Thursday,False,False,2021,1,2
2021-02-19,2021,1,2,February,7,Friday,False,False,2021,1,2
2021-02-20,2021,1,2,February,7,Saturday,True,False,2021,1,2
2021-02-21,2021,1,2,February,7,Sunday,True,False,2021,1,2
2021-02-22,2021,1,2,February,8,Monday,False,False,2021,1,2
2021-02-23,2021,1,2,February,8,Tuesday,False,False,2021,1,2
2021-02-24,2021,1,2,February,8,Wednesday,False,False,2021,1,2
2021-02-25,2021,1,2,February,8,Thursday,False,False,2021,1,2
2021-02-26,2021,1,2,February,8,Friday,False,False,2021,1,2
2021-02-27,2021,1,2,February,8,Saturday,True,False,2021,1,2
2021-02-28,2021,1,2,February,8,Sunday,True,False,2021,1,2
2021-03-01,2021,1,3,March,9,Monday,False,False,2021,1,3
2021-03-02,2021,1,3,March,9,Tuesday,False,False,2021,1,3
2021-03-03,2021,1,3,March,9,Wednesday,False,False,2021,1,3
2021-03-04,2021,1,3,March,9,Thursday,False,False,2021,1,3
2021-03-05,2021,1,3,March,9,Friday,False,False,2021,1,3
2021-03-06,2021,1,3,March,9,Saturday,True,False,2021,1,3
2021-03-07,2021,1,3,March,9,Sunday,True,False,2021,1,3
2021-03-08,2021,1,3,March,10,Monday,False,False,2021,1,3
2021-03-09,2021,1,3,March,10,Tuesday,False,False,2021,1,3
2021-03-10,2021,1,3,March,10,Wednesday,False,False,2021,1,3
2021-03-11,2021,1,3,March,10,Thursday,False,False,2021,1,3
2021-03-12,2021,1,3,March,10,Friday,False,False,2021,1,3
2021-03-13,2021,1,3,March,10,Saturday,True,False,2021,1,3
2021-03-14,2021,1,3,March,10,Sunday,True,False,2021,1,3
2021-03-15,2021,1,3,March,11,Monday,False,False,2021,1,3
2021-03-16,2021,1,3,March,11,Tuesday,False,False,2021,1,3
2021-03-17,2021,1,3,March,11,Wednesday,False,False,2021,1,3
2021-03-18,2021,1,3,March,11,Thursday,False,False,2021,1,3
2021-03-19,2021,1,3,March,11,Friday,False,False,2021,1,3
2021-03-20,2021,1,3,March,11,Saturday,True,False,2021,1,3
2021-03-21,2021,1,3,March,11,Sunday,True,False,2021,1,3
2021-03-22,2021,1,3,March,12,Monday,False,False,2021,1,3
