donation_id,donor_id,donation_date,amount,campaign_id,payment_method,gift_type,gift_aid_claimed
10000,1000,2023-04-22,18.18,,PayPal,One-off,Yes
10001,1001,2025-12-24,109.99,,Überweisung,One-off,No
10002,1001,2026-12-06,80.48,140.0,Überweisung,One-off,No
10003,1001,2026-10-06,62.38,141.0,Überweisung,One-off,No
10004,1001,2026-10-24,34.04,143.0,Überweisung,One-off,Yes
10005,1001,2026-11-13,43.38,143.0,Überweisung,One-off,Yes
10006,1002,2021-11-06,12.65,,Überweisung,One-off,Yes
10007,1002,2025-03-23,34.78,133.0,PayPal,One-off,Yes
10008,1002,2026-12-22,28.2,140.0,SEPA-Lastschrift,One-off,Yes
10009,1002,2022-09-15,10.84,111.0,SEPA-Lastschrift,One-off,Yes
10010,1002,2022-04-10,39.11,113.0,Kreditkarte,One-off,No
10011,1003,2025-10-23,22.39,,SEPA-Lastschrift,One-off,Yes
10012,1003,2026-10-04,30.49,143.0,SEPA-Lastschrift,One-off,Yes
10013,1003,2026-01-12,28.68,144.0,Überweisung,One-off,Yes
10014,1004,2026-03-25,7.32,,Überweisung,One-off,No
10015,1004,2026-12-01,16.85,140.0,SEPA-Lastschrift,One-off,Yes
10016,1005,2022-05-19,111.99,,SEPA-Lastschrift,Regular,Yes
10017,1005,2024-03-26,160.82,129.0,SEPA-Lastschrift,Regular,Yes
10018,1005,2024-06-26,202.79,126.0,SEPA-Lastschrift,Regular,No
10019,1005,2022-08-05,193.1,115.0,SEPA-Lastschrift,Regular,Yes
10020,1005,2024-11-13,123.94,124.0,SEPA-Lastschrift,Regular,Yes
10021,1005,2023-01-15,196.05,120.0,SEPA-Lastschrift,Regular,Yes
10022,1005,2024-06-19,132.19,126.0,SEPA-Lastschrift,Regular,No
10023,1005,2024-05-20,199.41,125.0,SEPA-Lastschrift,One-off,No
10024,1005,2025-07-30,160.86,138.0,SEPA-Lastschrift,Regular,Yes
10025,1005,2023-02-24,165.61,120.0,SEPA-Lastschrift,Regular,Yes
10026,1005,2026-06-11,145.39,142.0,SEPA-Lastschrift,Regular,Yes
10027,1005,2025-01-01,142.43,124.0,Überweisung,One-off,Yes
10028,1005,2026-06-07,187.66,142.0,SEPA-Lastschrift,Regular,No
10029,1005,2023-02-04,194.77,120.0,SEPA-Lastschrift,Regular,No
10030,1005,2023-03-27,252.91,120.0,SEPA-Lastschrift,Regular,Yes
10031,1005,2025-01-17,165.82,136.0,SEPA-Lastschrift,Regular,No
10032,1005,2025-10-06,156.35,135.0,SEPA-Lastschrift,Regular,No
10033,1005,2026-02-15,200.46,144.0,SEPA-Lastschrift,Regular,Yes
10034,1005,2024-05-03,227.38,125.0,SEPA-Lastschrift,Regular,Yes
10035,1005,2025-03-22,116.31,133.0,SEPA-Lastschrift,Regular,Yes
10036,1005,2025-11-16,133.81,132.0,SEPA-Lastschrift,Regular,Yes
10037,1005,2026-06-17,98.91,142.0,SEPA-Lastschrift,Regular,Yes
10038,1005,2025-05-05,157.08,137.0,SEPA-Lastschrift,Regular,Yes
10039,1007,2022-07-24,71.19,,SEPA-Lastschrift,Regular,No
10040,1007,2025-12-07,133.37,132.0,SEPA-Lastschrift,Regular,Yes
10041,1007,2025-12-25,85.98,132.0,SEPA-Lastschrift,Regular,Yes
10042,1007,2026-06-25,83.55,142.0,SEPA-Lastschrift,Regular,Yes
10043,1007,2025-12-29,115.66,132.0,SEPA-Lastschrift,Regular,No
10044,1007,2025-05-17,136.89,139.0,SEPA-Lastschrift,Regular,No
10045,1007,2025-04-09,77.35,137.0,SEPA-Lastschrift,Regular,Yes
10046,1007,2023-06-13,83.79,123.0,SEPA-Lastschrift,Regular,No
10047,1007,2026-02-22,95.59,,SEPA-Lastschrift,Regular,Yes
10048,1007,2024-04-30,135.29,125.0,SEPA-Lastschrift,One-off,No
10049,1007,2026-03-18,124.39,145.0,SEPA-Lastschrift,Regular,No
10050,1007,2026-11-19,47.32,143.0,SEPA-Lastschrift,Regular,Yes
10051,1007,2026-09-22,138.79,143.0,SEPA-Lastschrift,One-off,Yes
10052,1007,2026-02-11,156.23,144.0,SEPA-Lastschrift,Regular,Yes
10053,1007,2022-10-18,83.64,,SEPA-Lastschrift,Regular,Yes
10054,1007,2024-09-06,107.17,127.0,SEPA-Lastschrift,Regular,Yes
10055,1007,2024-05-23,105.86,125.0,SEPA-Lastschrift,Regular,No
10056,1007,2025-05-11,126.98,,SEPA-Lastschrift,Regular,Yes
10057,1007,2022-10-18,86.13,111.0,SEPA-Lastschrift,One-off,Yes
10058,1007,2024-04-27,118.22,125.0,Überweisung,Regular,No
10059,1007,2026-12-09,118.83,140.0,SEPA-Lastschrift,Regular,Yes
10060,1007,2022-08-05,87.88,115.0,SEPA-Lastschrift,One-off,No
10061,1007,2022-09-20,90.53,111.0,Kreditkarte,One-off,No
10062,1007,2026-10-23,151.1,141.0,SEPA-Lastschrift,Regular,Yes
10063,1007,2023-10-19,105.27,119.0,SEPA-Lastschrift,One-off,Yes
10064,1007,2023-10-12,111.15,119.0,Kreditkarte,Regular,Yes
10065,1007,2024-03-30,124.3,129.0,SEPA-Lastschrift,One-off,Yes
10066,1007,2026-07-23,141.93,146.0,Überweisung,Regular,Yes
10067,1007,2024-05-09,94.02,131.0,SEPA-Lastschrift,Regular,No
10068,1007,2023-02-27,96.68,120.0,SEPA-Lastschrift,Regular,No
10069,1007,2025-04-18,90.83,137.0,SEPA-Lastschrift,Regular,Yes
10070,1007,2026-06-20,106.44,142.0,SEPA-Lastschrift,Regular,Yes
10071,1007,2025-04-05,56.46,133.0,SEPA-Lastschrift,One-off,Yes
10072,1007,2026-12-01,84.97,140.0,SEPA-Lastschrift,One-off,No
10073,1007,2024-08-01,42.55,130.0,PayPal,Regular,No
10074,1007,2026-11-11,85.55,140.0,Kreditkarte,Regular,No
10075,1007,2024-06-14,104.23,126.0,SEPA-Lastschrift,Regular,Yes
10076,1007,2023-04-15,116.52,121.0,Kreditkarte,Regular,Yes
10077,1007,2024-03-27,116.16,129.0,SEPA-Lastschrift,Regular,Yes
10078,1007,2025-03-29,26.05,133.0,SEPA-Lastschrift,Regular,No
10079,1007,2024-03-25,112.96,128.0,SEPA-Lastschrift,Regular,Yes
10080,1007,2023-06-12,91.3,123.0,SEPA-Lastschrift,Regular,Yes
10081,1007,2026-03-01,137.05,,SEPA-Lastschrift,Regular,No
10082,1007,2022-10-25,113.36,111.0,SEPA-Lastschrift,Regular,No
10083,1007,2025-04-07,77.23,133.0,Überweisung,Regular,Yes
10084,1007,2023-01-27,104.56,120.0,SEPA-Lastschrift,Regular,Yes
10085,1007,2026-05-12,79.41,147.0,SEPA-Lastschrift,Regular,Yes
10086,1007,2023-10-09,116.72,117.0,SEPA-Lastschrift,Regular,No
10087,1008,2024-07-16,20.6,,Überweisung,One-off,Yes
10088,1009,2024-11-24,39.08,,PayPal,One-off,Yes
10089,1010,2025-11-17,80.65,,PayPal,One-off,Yes
10090,1010,2026-10-21,62.12,141.0,SEPA-Lastschrift,One-off,No
10091,1010,2026-11-20,85.12,143.0,Überweisung,One-off,Yes
10092,1010,2026-08-19,98.37,146.0,SEPA-Lastschrift,One-off,No
10093,1010,2026-07-19,62.07,,Überweisung,One-off,Yes
10094,1010,2026-10-01,88.91,141.0,PayPal,One-off,No
10095,1010,2026-09-22,111.02,141.0,SEPA-Lastschrift,One-off,No
10096,1010,2026-12-15,111.3,140.0,SEPA-Lastschrift,One-off,No
10097,1010,2026-05-12,121.83,147.0,Überweisung,One-off,Yes
10098,1010,2026-04-14,98.55,145.0,Überweisung,One-off,Yes
10099,1010,2026-12-17,51.98,,Kreditkarte,One-off,Yes
10100,1010,2026-05-14,93.02,147.0,SEPA-Lastschrift,One-off,Yes
10101,1010,2026-06-25,91.96,142.0,SEPA-Lastschrift,One-off,No
10102,1011,2026-07-05,16.27,,SEPA-Lastschrift,Regular,No
10103,1011,2026-10-06,27.16,141.0,SEPA-Lastschrift,Regular,No
10104,1011,2026-11-24,35.8,143.0,SEPA-Lastschrift,Regular,No
10105,1012,2023-09-30,32.56,,PayPal,One-off,Yes
10106,1013,2024-12-19,34.27,,Überweisung,One-off,No
10107,1013,2025-04-01,53.16,137.0,SEPA-Lastschrift,One-off,Yes
10108,1013,2026-06-21,39.75,142.0,SEPA-Lastschrift,One-off,No
10109,1013,2025-04-05,26.71,137.0,Kreditkarte,One-off,No
10110,1014,2021-04-28,23.52,,SEPA-Lastschrift,One-off,Yes
10111,1015,2025-09-06,22.39,,SEPA-Lastschrift,One-off,No
10112,1015,2026-05-16,38.35,142.0,PayPal,One-off,Yes
10113,1015,2026-10-23,28.91,141.0,SEPA-Lastschrift,One-off,Yes
10114,1015,2026-12-27,30.53,140.0,SEPA-Lastschrift,One-off,Yes
10115,1015,2026-03-28,40.17,145.0,Kreditkarte,One-off,Yes
10116,1015,2026-10-16,37.15,141.0,Kreditkarte,One-off,Yes
10117,1015,2026-07-19,31.91,146.0,Überweisung,One-off,Yes
10118,1016,2024-08-04,34.26,,Überweisung,One-off,No
10119,1017,2025-08-05,73.82,,SEPA-Lastschrift,Regular,Yes
10120,1017,2026-11-24,97.46,143.0,SEPA-Lastschrift,Regular,Yes
10121,1017,2026-02-06,69.34,144.0,SEPA-Lastschrift,Regular,Yes
10122,1017,2026-09-28,110.26,143.0,SEPA-Lastschrift,Regular,Yes
10123,1017,2026-12-28,62.91,140.0,SEPA-Lastschrift,Regular,Yes
10124,1018,2025-01-08,43.93,,SEPA-Lastschrift,One-off,Yes
10125,1019,2022-08-21,12.44,,SEPA-Lastschrift,One-off,Yes
10126,1019,2022-11-20,12.89,108.0,Überweisung,One-off,Yes
10127,1019,2025-12-23,11.96,132.0,SEPA-Lastschrift,One-off,No
10128,1019,2026-11-26,13.71,140.0,SEPA-Lastschrift,One-off,Yes
10129,1019,2024-05-08,6.63,131.0,PayPal,One-off,No
10130,1019,2023-06-20,11.36,118.0,Überweisung,One-off,Yes
10131,1019,2025-10-14,11.43,135.0,PayPal,One-off,No
10132,1019,2025-03-07,6.18,136.0,SEPA-Lastschrift,One-off,Yes
10133,1019,2023-05-28,13.3,118.0,SEPA-Lastschrift,One-off,Yes
10134,1019,2023-12-05,7.36,116.0,PayPal,One-off,Yes
10135,1019,2026-12-16,16.99,140.0,PayPal,One-off,Yes
10136,1019,2024-05-10,7.2,131.0,SEPA-Lastschrift,One-off,Yes
10137,1019,2025-09-29,10.41,135.0,Kreditkarte,One-off,No
10138,1020,2023-09-02,34.05,,Überweisung,One-off,Yes
10139,1020,2026-04-06,23.56,145.0,SEPA-Lastschrift,One-off,Yes
10140,1020,2025-04-10,34.39,133.0,Überweisung,One-off,Yes
10141,1020,2026-05-13,26.86,147.0,PayPal,One-off,No
10142,1020,2026-10-07,27.69,143.0,Überweisung,One-off,No
10143,1020,2024-07-09,21.9,130.0,Überweisung,One-off,No
10144,1020,2024-03-14,25.28,128.0,Überweisung,One-off,No
10145,1020,2025-03-31,24.7,133.0,SEPA-Lastschrift,One-off,No
10146,1020,2025-04-06,25.45,133.0,PayPal,One-off,No
10147,1021,2023-10-19,12.14,,Kreditkarte,One-off,No
10148,1024,2021-12-27,31.53,,SEPA-Lastschrift,One-off,Yes
10149,1024,2025-09-20,52.15,135.0,SEPA-Lastschrift,One-off,No
10150,1024,2023-09-16,41.66,119.0,PayPal,One-off,No
10151,1024,2022-10-10,57.15,109.0,Kreditkarte,One-off,No
10152,1024,2026-01-12,36.24,144.0,Überweisung,One-off,No
10153,1024,2024-01-18,63.94,128.0,PayPal,One-off,Yes
10154,1024,2022-01-31,45.85,112.0,Kreditkarte,One-off,No
10155,1024,2025-12-28,63.78,132.0,Kreditkarte,One-off,Yes
10156,1024,2024-05-09,69.47,131.0,PayPal,One-off,Yes
10157,1024,2023-06-12,37.96,123.0,Überweisung,One-off,Yes
10158,1024,2023-06-04,12.58,118.0,PayPal,One-off,Yes
10159,1024,2023-03-19,10.1,120.0,SEPA-Lastschrift,One-off,Yes
10160,1024,2023-02-22,28.65,120.0,PayPal,One-off,Yes
10161,1024,2026-01-18,26.85,144.0,Überweisung,One-off,Yes
10162,1024,2024-03-27,37.77,129.0,PayPal,One-off,Yes
10163,1025,2025-03-21,57.57,,SEPA-Lastschrift,One-off,Yes
10164,1027,2025-10-15,29.32,,Überweisung,One-off,Yes
10165,1028,2023-01-21,58.34,,Kreditkarte,One-off,No
10166,1028,2025-06-27,26.9,138.0,SEPA-Lastschrift,One-off,No
10167,1028,2023-12-09,41.33,116.0,PayPal,One-off,Yes
10168,1028,2024-05-03,41.3,125.0,Überweisung,One-off,No
10169,1028,2023-04-11,71.83,121.0,SEPA-Lastschrift,One-off,No
10170,1028,2024-06-19,48.44,126.0,SEPA-Lastschrift,One-off,Yes
10171,1028,2024-05-31,48.15,126.0,Überweisung,One-off,Yes
10172,1028,2025-03-23,39.67,133.0,SEPA-Lastschrift,One-off,Yes
10173,1028,2026-09-27,46.57,141.0,SEPA-Lastschrift,One-off,Yes
10174,1028,2025-11-19,46.91,132.0,SEPA-Lastschrift,One-off,Yes
10175,1028,2023-07-02,77.71,122.0,PayPal,One-off,No
10176,1029,2025-04-01,49.75,,Überweisung,One-off,Yes
10177,1031,2024-06-28,138.34,,PayPal,One-off,Yes
10178,1031,2026-07-15,148.52,146.0,Überweisung,One-off,Yes
10179,1031,2025-05-16,152.38,139.0,Überweisung,One-off,Yes
10180,1031,2024-09-25,201.51,127.0,Überweisung,One-off,Yes
10181,1031,2025-04-02,227.09,133.0,SEPA-Lastschrift,One-off,No
10182,1031,2026-02-13,189.02,144.0,Überweisung,One-off,Yes
10183,1031,2024-12-22,173.52,124.0,Überweisung,One-off,No
10184,1034,2023-06-03,10.16,,SEPA-Lastschrift,One-off,Yes
10185,1034,2026-08-19,10.06,146.0,SEPA-Lastschrift,One-off,Yes
10186,1034,2025-04-02,6.03,133.0,Kreditkarte,One-off,Yes
10187,1034,2025-07-14,14.55,138.0,Überweisung,One-off,Yes
10188,1034,2024-04-13,6.29,129.0,SEPA-Lastschrift,One-off,Yes
10189,1034,2023-10-16,14.68,119.0,PayPal,One-off,No
10190,1034,2025-11-20,10.93,132.0,Überweisung,One-off,No
10191,1034,2026-08-19,15.66,146.0,Überweisung,One-off,Yes
10192,1034,2025-05-17,12.77,139.0,Überweisung,One-off,Yes
10193,1034,2023-12-07,13.18,116.0,Kreditkarte,One-off,Yes
10194,1035,2023-03-31,26.93,,Überweisung,One-off,No
10195,1036,2022-08-27,178.12,,PayPal,One-off,Yes
10196,1036,2025-12-31,263.29,132.0,Überweisung,One-off,No
10197,1036,2023-03-25,177.12,120.0,SEPA-Lastschrift,One-off,No
10198,1036,2023-04-20,206.86,121.0,SEPA-Lastschrift,One-off,No
10199,1036,2023-06-13,204.94,123.0,PayPal,One-off,Yes
10200,1036,2023-10-10,210.94,117.0,SEPA-Lastschrift,One-off,Yes
10201,1036,2023-09-04,194.55,117.0,PayPal,One-off,No
10202,1036,2026-12-13,136.33,140.0,SEPA-Lastschrift,One-off,No
10203,1036,2023-11-22,174.61,116.0,PayPal,One-off,No
10204,1036,2026-10-17,280.29,141.0,SEPA-Lastschrift,One-off,Yes
10205,1036,2022-11-23,221.61,108.0,Kreditkarte,One-off,Yes
10206,1036,2024-05-19,229.8,125.0,PayPal,One-off,Yes
10207,1036,2023-07-12,344.94,,Überweisung,One-off,Yes
10208,1036,2022-10-05,378.28,111.0,SEPA-Lastschrift,One-off,Yes
10209,1036,2025-12-02,317.04,132.0,Überweisung,One-off,Yes
10210,1036,2023-03-29,172.67,121.0,Kreditkarte,One-off,Yes
10211,1036,2022-09-16,326.29,109.0,SEPA-Lastschrift,One-off,No
10212,1036,2025-04-21,263.66,137.0,Überweisung,One-off,No
10213,1036,2024-12-15,289.42,124.0,Kreditkarte,One-off,Yes
10214,1036,2024-05-13,209.67,125.0,PayPal,One-off,No
10215,1036,2025-12-26,318.45,132.0,SEPA-Lastschrift,One-off,No
10216,1036,2026-05-12,296.81,147.0,SEPA-Lastschrift,One-off,Yes
10217,1036,2026-06-03,239.92,142.0,SEPA-Lastschrift,One-off,No
10218,1036,2024-08-07,111.04,130.0,SEPA-Lastschrift,One-off,Yes
10219,1036,2025-07-21,320.49,138.0,Überweisung,One-off,Yes
10220,1036,2023-08-12,167.8,122.0,Überweisung,One-off,Yes
10221,1036,2024-05-17,392.54,126.0,Kreditkarte,One-off,Yes
10222,1036,2025-10-05,213.0,135.0,Kreditkarte,One-off,No
10223,1036,2025-11-24,168.72,132.0,Überweisung,One-off,Yes
10224,1036,2023-03-27,243.1,121.0,Kreditkarte,One-off,No
10225,1036,2022-10-03,288.96,109.0,SEPA-Lastschrift,One-off,Yes
10226,1036,2026-03-21,373.62,145.0,Kreditkarte,One-off,Yes
10227,1036,2025-09-25,201.71,135.0,Überweisung,One-off,No
10228,1036,2026-05-03,175.89,142.0,Überweisung,One-off,No
10229,1036,2024-05-25,257.29,125.0,PayPal,One-off,Yes
10230,1036,2026-05-12,322.53,147.0,Überweisung,One-off,Yes
10231,1036,2026-12-14,233.9,140.0,Überweisung,One-off,Yes
10232,1036,2023-03-21,249.0,120.0,SEPA-Lastschrift,One-off,No
10233,1036,2025-04-26,135.88,137.0,SEPA-Lastschrift,One-off,No
10234,1037,2022-05-01,12.23,,SEPA-Lastschrift,One-off,Yes
10235,1037,2025-04-05,12.78,133.0,Überweisung,One-off,No
10236,1037,2026-11-09,14.87,143.0,SEPA-Lastschrift,One-off,No
10237,1037,2025-05-27,23.02,134.0,Überweisung,One-off,No
10238,1037,2025-05-18,14.36,139.0,SEPA-Lastschrift,One-off,Yes
10239,1037,2022-11-12,13.95,108.0,Kreditkarte,One-off,No
10240,1037,2026-07-07,13.46,146.0,SEPA-Lastschrift,One-off,Yes
10241,1037,2024-09-01,10.0,,Überweisung,One-off,No
10242,1037,2026-04-07,5.0,145.0,PayPal,One-off,No
10243,1037,2023-05-28,15.97,118.0,SEPA-Lastschrift,One-off,Yes
10244,1037,2024-10-24,15.15,127.0,SEPA-Lastschrift,One-off,Yes
10245,1037,2026-01-20,12.93,144.0,PayPal,One-off,Yes
10246,1037,2025-03-29,18.81,137.0,Überweisung,One-off,Yes
10247,1037,2023-06-12,10.02,123.0,Überweisung,One-off,Yes
10248,1038,2025-12-23,16.56,,PayPal,One-off,Yes
10249,1038,2026-01-12,9.99,144.0,Kreditkarte,One-off,No
10250,1038,2026-09-28,6.58,141.0,Überweisung,One-off,No
10251,1038,2026-02-07,11.74,144.0,PayPal,One-off,Yes
10252,1039,2022-09-23,7.05,,SEPA-Lastschrift,One-off,No
10253,1039,2024-06-09,10.11,130.0,Überweisung,One-off,No
10254,1039,2022-12-09,11.33,108.0,Überweisung,One-off,Yes
10255,1039,2024-06-28,6.23,126.0,Überweisung,One-off,Yes
10256,1039,2023-12-19,9.17,116.0,Überweisung,One-off,No
10257,1039,2025-07-14,6.5,138.0,Kreditkarte,One-off,Yes
10258,1039,2023-10-02,10.24,117.0,SEPA-Lastschrift,One-off,Yes
10259,1039,2026-07-30,5.0,146.0,Überweisung,One-off,Yes
10260,1039,2025-04-11,7.56,137.0,Kreditkarte,One-off,Yes
10261,1039,2026-10-23,8.61,141.0,SEPA-Lastschrift,One-off,Yes
10262,1039,2024-11-22,8.67,124.0,Kreditkarte,One-off,Yes
10263,1039,2023-09-26,6.37,119.0,Überweisung,One-off,Yes
10264,1040,2026-11-10,29.07,,Überweisung,One-off,Yes
10265,1041,2022-05-03,53.72,,SEPA-Lastschrift,One-off,Yes
10266,1041,2025-05-05,45.23,137.0,PayPal,One-off,Yes
10267,1041,2024-05-30,37.81,126.0,Überweisung,One-off,No
10268,1041,2025-11-28,69.37,132.0,PayPal,One-off,No
10269,1041,2023-10-26,71.66,,Kreditkarte,One-off,No
10270,1041,2026-10-06,40.03,141.0,Überweisung,One-off,Yes
